box(3, 19, 63, 13, 29, 64),
box(20, 20, 63, 28, 28, 64),
box(-12, 20, 63, -4, 28, 64),
box(20, 4, -48, 28, 12, -47),
box(-12, 4, -48, -4, 12, -47),
box(-40, 0, -40, 56, 8, 56),
box(-32, 8, -32, 48, 24, 48),
box(-16, 0, 56, 32, 32, 63),
box(16, 0, -47, 32, 16, -40),
box(0, 0, -46, 16, 13, -40),
box(-16, 8, -36, 32, 32, -29),
box(-16, 32, -46, 32, 34, -29),
box(48, 16, -8, 60, 18, 24),
box(50, 58, 2, 58, 70, 14),
box(5, 26, 4, 11, 58, 12),
box(4, 58, 2, 12, 70, 14),
box(-44, 16, -8, -32, 18, 24),
box(-42, 58, 2, -34, 70, 14),
box(-16, 8, 40, 32, 32, 56),
box(-12, 4, 63, -4, 12, 64),
box(20, 4, 63, 28, 12, 64),
box(3, 3, 63, 13, 13, 64),
box(-10, 24, 28, -6, 26, 40),
box(-32, 24, 28, -10, 26, 32),
box(-40, 22, 28, -32, 26, 32),
box(-40, 16, 28, -36, 22, 32),
box(-40, 16, -16, -36, 22, -12),
box(-36, 18, -16, -32, 22, -12),
box(5, 24, 20, 11, 27, 40),
box(1, 24, 1, 15, 26, 15),
box(-2, 24, -25, 18, 25, -5),
box(37, 24, -19, 38, 25, -11),
box(24, 24, -19, 25, 25, -11),
box(-22, 24, -19, -21, 25, -11),
box(-9, 24, -19, -8, 25, -11),
box(-16, 0, -47, 0, 16, -40),
box(22, 24, 28, 26, 26, 40),
box(26, 24, 28, 48, 26, 32),
box(48, 22, 28, 56, 26, 32),
box(52, 16, 28, 56, 22, 32),
box(52, 16, -16, 56, 22, -12),
box(48, 18, -16, 52, 22, -12),
box(16.5, 20, -42.5, 28.5, 24, -41.5),
box(-12.5, 20, -42.5, -0.5, 24, -41.5),
box(1, 15, -46, 15, 16, -40),
box(-0.5, 20, -39.5, 16.5, 24, -38.5),
box(5.5, 15, -39.5, 10.5, 20, -38.5),
box(-15, 17, -44, -1, 27, -42),
box(1, 17, -40.75, 15, 27, -38.75),
box(17, 17, -44, 31, 27, -42),
box(51, 18, -3, 57, 36, 19),
box(51, 36, 2, 57, 58, 14),
box(-41, 18, -3, -35, 36, 19),
box(-41, 36, 2, -35, 58, 14),
box(-48, 0, -24, -40, 16, 40),
box(-40, 8, -24, -32, 16, 40),
box(56, 0, -24, 64, 16, 40),
box(48, 8, -24, 56, 16, 40),
box(-15, 8, -40, 31, 18, -36)
