box(3, 19, -48, 13, 29, -47),
box(20, 20, -48, 28, 28, -47),
box(-12, 20, -48, -4, 28, -47),
box(20, 4, -48, 28, 12, -47),
box(-12, 4, -48, -4, 12, -47),
box(-40, 0, -40, 56, 8, 56),
box(-32, 8, -32, 48, 24, 48),
box(-16, 0, -47, 32, 32, -40),
box(17, 18, 58.5, 31, 28, 60.5),
box(1, 18, 54.5, 15, 28, 56.5),
box(-15, 18, 58.5, -1, 28, 60.5),
box(5.5, 16, 53.5, 10.5, 21, 54.5),
box(-0.5, 21, 53.5, 16.5, 25, 54.5),
box(16.5, 21, 57.5, 28.5, 25, 58.5),
box(-12.5, 21, 57.5, -0.5, 25, 58.5),
box(1, 14.2, 55, 15, 15.2, 61),
box(16, 0, 56, 32, 16, 63),
box(0, 0, 56, 16, 13, 62),
box(-16, 8, 45, 32, 32, 52),
box(-16, 32, 45, 32, 34, 62),
box(-15, 8, 52, 31, 18, 56),
box(48, 16, -8, 60, 18, 24),
box(50, 58, 2, 58, 70, 14),
box(5, 26, 4, 11, 58, 12),
box(4, 58, 2, 12, 70, 14),
box(-42, 58, 2, -34, 70, 14),
box(-16, 8, -40, 32, 32, -24),
box(-12, 4, -48, -4, 12, -47),
box(20, 4, -48, 28, 12, -47),
box(3, 3, -48, 13, 13, -47),
box(-10, 24, -24, -6, 26, -12),
box(-32, 24, -16, -10, 26, -12),
box(-40, 22, -16, -32, 26, -12),
box(-40, 16, -16, -36, 22, -12),
box(-40, 16, 28, -36, 22, 32),
box(-36, 18, 28, -32, 22, 32),
box(5, 24, -24, 11, 27, -4),
box(1, 24, 1, 15, 26, 15),
box(-2, 24, 21, 18, 25, 41),
box(37, 24, 27, 38, 25, 35),
box(24, 24, 27, 25, 25, 35),
box(-22, 24, 27, -21, 25, 35),
box(-9, 24, 27, -8, 25, 35),
box(-16, 0, 56, 0, 16, 63),
box(22, 24, -24, 26, 26, -12),
box(26, 24, -16, 48, 26, -12),
box(48, 22, -16, 56, 26, -12),
box(52, 16, -16, 56, 22, -12),
box(52, 16, 28, 56, 22, 32),
box(48, 18, 28, 52, 22, 32),
box(-44, 16, -8, -32, 18, 24),
box(51, 18, -3, 57, 36, 19),
box(51, 36, 2, 57, 58, 14),
box(-41, 18, -3, -35, 36, 19),
box(-41, 36, 2, -35, 58, 14),
box(-48, 0, -24, -40, 16, 40),
box(-40, 8, -24, -32, 16, 40),
box(48, 8, -24, 56, 16, 40),
box(56, 0, -24, 64, 16, 40),
